customer_binary,user_binary,device,os,browser,weekday,hour,product_views_hour,cart_views_hour,purchase_views_hour,page_views_hour,product_views_journey,cart_views_journey,purchase_views_journey,page_views_journey
kp2ev3khwEeVqZ7qW0pJug==,5jK2FikVFkyTQAq17jDPpg==,0.0,1.0,0.0,1,22,1,0,0,1,1,1,1,1
M1+3xXFmE0q6b+9HVdxQ1w==,D+HKphq7PUOj2hzBQw7XiQ==,0.0,2.0,0.0,1,22,1,0,0,1,1,1,1,1
M1+3xXFmE0q6b+9HVdxQ1w==,eapABf4FbEemdIdqOmcXuA==,0.0,3.0,0.0,1,22,1,0,0,1,1,1,1,1
MWY5bBVHEEOWUfnTwFnnHQ==,yABNaNiLnU+dUX3UrkV3Vw==,0.0,1.0,3.0,1,22,1,0,0,1,1,1,1,1
kp2ev3khwEeVqZ7qW0pJug==,KNo0XVodwUWtczbDkzhSkw==,4.0,0.0,1.0,1,22,1,0,0,1,1,1,1,1
VCkXEQJxMEaCOzfgHgncSQ==,UN7Jt8axAEiHDnO/LVyEnQ==,0.0,2.0,0.0,1,22,1,0,0,1,1,1,1,1
M1+3xXFmE0q6b+9HVdxQ1w==,vXKzbu8BH02WmLfV8pOJcA==,0.0,3.0,0.0,1,22,1,0,0,1,1,1,1,1
gwlc4zxoJEivY9vtdKLc2A==,3JHAtMMnxUy8HHVWXtxrrQ==,4.0,0.0,1.0,1,22,2,0,0,2,2,2,2,2
gwlc4zxoJEivY9vtdKLc2A==,3JHAtMMnxUy8HHVWXtxrrQ==,4.0,0.0,1.0,1,22,2,0,0,2,2,2,2,2
O0gXPxm1z0yo2WOV0o+Xkw==,PmTe6W5yUkqtgkkuVLjFWA==,11.0,0.0,1.0,1,22,1,0,0,1,1,1,1,1
giY70S63zEKSA+4fCiC2jQ==,Uon9P9DcWk+5qVD8Njcy4g==,76.0,0.0,1.0,1,22,1,0,0,1,1,1,1,1
VBx8f+FnZUqmVAadfMLbjg==,+FuuVBnXKkOfrpO7PTUsMA==,4.0,0.0,1.0,1,22,1,0,0,1,1,1,1,1
3a1+o8O8UUuye6u4ZjcoaQ==,hg1bfvBXvEiq2ntto5UbKQ==,38.0,0.0,1.0,1,22,1,0,0,1,1,1,1,1
6loll5waEE+97Cm1lWJ0yg==,0SY1nAwEYECz0J2PfklbVg==,8.0,0.0,1.0,1,22,1,0,0,1,1,1,1,1
qR8YbQr2PUmE27VvgFzv3w==,X2SAWhHL6Ey9yheHG+l/qg==,0.0,1.0,0.0,1,22,1,0,0,1,1,1,1,1
Fr9oWfIRPk6Tn0F12240tw==,aw25vT83fku+K21wbAn78g==,0.0,1.0,0.0,1,22,1,0,0,1,1,1,1,1
3a1+o8O8UUuye6u4ZjcoaQ==,jR+QyMpGq0GBxpzLUNIAEA==,8.0,0.0,1.0,1,22,1,0,0,1,1,1,1,1
3a1+o8O8UUuye6u4ZjcoaQ==,xReiClZyp0OeQ8Z4/nVs6g==,0.0,1.0,0.0,1,22,1,0,0,1,1,1,1,1
bsKc1tAibEmZ+BwwISsw0Q==,/+/blsOIFEOLZEIMqP0a4A==,5.0,0.0,1.0,1,22,1,0,0,1,1,1,1,1
bsKc1tAibEmZ+BwwISsw0Q==,6z3aJT0hIU664tnDtAw7yw==,0.0,1.0,0.0,1,22,1,0,0,1,1,1,1,1
kp2ev3khwEeVqZ7qW0pJug==,NyZmpYB7f0apAEL5SdZIFw==,20.0,0.0,1.0,1,22,2,0,0,2,2,2,2,2
kp2ev3khwEeVqZ7qW0pJug==,NyZmpYB7f0apAEL5SdZIFw==,20.0,0.0,1.0,1,22,2,0,0,2,2,2,2,2
giY70S63zEKSA+4fCiC2jQ==,Wqraq3LCekecYlY485Qy3g==,0.0,2.0,0.0,1,22,1,0,0,1,1,1,1,1
kp2ev3khwEeVqZ7qW0pJug==,dwbxuIvTKEWY2gX9GFJC/g==,36.0,0.0,1.0,1,22,2,0,0,2,2,2,2,2
kp2ev3khwEeVqZ7qW0pJug==,dwbxuIvTKEWY2gX9GFJC/g==,36.0,0.0,1.0,1,22,2,0,0,2,2,2,2,2
z6qHyTx3M0GmcKYDKB8Avg==,hnx82eAzcUeykp98WoREww==,70.0,0.0,1.0,1,22,1,0,0,1,1,1,1,1
3a1+o8O8UUuye6u4ZjcoaQ==,rrdEf6+8A06KV5aBAx5phg==,17.0,0.0,1.0,1,22,4,0,0,4,4,4,4,4
3a1+o8O8UUuye6u4ZjcoaQ==,rrdEf6+8A06KV5aBAx5phg==,17.0,0.0,1.0,1,22,4,0,0,4,4,4,4,4
3a1+o8O8UUuye6u4ZjcoaQ==,rrdEf6+8A06KV5aBAx5phg==,17.0,0.0,1.0,1,22,4,0,0,4,4,4,4,4
3a1+o8O8UUuye6u4ZjcoaQ==,rrdEf6+8A06KV5aBAx5phg==,17.0,0.0,1.0,1,22,4,0,0,4,4,4,4,4
rtieEqQqcEu0sMoF3BR0Cg==,wshe1LEceUqMo4GjsWcySw==,0.0,5.0,3.0,1,22,1,0,0,1,1,1,1,1
MWY5bBVHEEOWUfnTwFnnHQ==,U+TXHw6wFUSfwmmnsWpYPA==,0.0,1.0,0.0,1,22,2,0,0,2,2,2,2,2
MWY5bBVHEEOWUfnTwFnnHQ==,U+TXHw6wFUSfwmmnsWpYPA==,0.0,1.0,0.0,1,22,2,0,0,2,2,2,2,2
hCffFh60EkaWRcJBfxMRkQ==,2L7UWn8mxUGSgFl5tiEeBg==,15.0,0.0,1.0,1,22,1,0,0,1,1,1,1,1
qR8YbQr2PUmE27VvgFzv3w==,Bi7gS5TlFE2/WzQ3Rylkyw==,26.0,4.0,2.0,1,22,1,0,0,1,1,1,1,1
VBx8f+FnZUqmVAadfMLbjg==,W3sHu7XfrUKYGBCfVEXNew==,27.0,0.0,1.0,1,22,1,0,0,1,1,1,1,1
MWY5bBVHEEOWUfnTwFnnHQ==,sNnaWFJackW/xKUvnsxS1w==,23.0,0.0,1.0,1,22,2,0,0,2,2,2,2,2
MWY5bBVHEEOWUfnTwFnnHQ==,sNnaWFJackW/xKUvnsxS1w==,23.0,0.0,1.0,1,22,2,0,0,2,2,2,2,2
z6qHyTx3M0GmcKYDKB8Avg==,JPCHfzkaZkSY9Q4jceWp+Q==,2.0,0.0,1.0,1,22,2,0,0,2,2,2,2,2
